technology,parameter,year,value,unit,currency_year,financial_case,scenario,source,further description
biomass,PTC,2025,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,PTC,2025,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,PTC,2025,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,PTC,2030,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,PTC,2030,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,PTC,2030,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,PTC,2035,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,PTC,2035,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,PTC,2035,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,PTC,2040,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,PTC,2040,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,PTC,2040,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,PTC,2045,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,PTC,2045,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,PTC,2045,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,PTC,2050,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,PTC,2050,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,PTC,2050,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
hydro,PTC,2025,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
hydro,PTC,2025,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
hydro,PTC,2025,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
hydro,PTC,2030,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
hydro,PTC,2030,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
hydro,PTC,2030,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
hydro,PTC,2035,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
hydro,PTC,2035,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
hydro,PTC,2035,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
hydro,PTC,2040,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
hydro,PTC,2040,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
hydro,PTC,2040,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
hydro,PTC,2045,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
hydro,PTC,2045,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
hydro,PTC,2045,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
hydro,PTC,2050,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
hydro,PTC,2050,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
hydro,PTC,2050,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
onwind,PTC,2025,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
onwind,PTC,2025,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
onwind,PTC,2025,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
onwind,PTC,2030,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
onwind,PTC,2030,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
onwind,PTC,2030,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
onwind,PTC,2035,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
onwind,PTC,2035,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
onwind,PTC,2035,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
onwind,PTC,2040,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
onwind,PTC,2040,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
onwind,PTC,2040,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
onwind,PTC,2045,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
onwind,PTC,2045,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
onwind,PTC,2045,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
onwind,PTC,2050,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
onwind,PTC,2050,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
onwind,PTC,2050,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
