technology,parameter,year,value,unit,currency_year,source,further_description
industrial heat pump medium temperature,FOM,2050,0.1,%/year,2015,"Danish Energy Agency,  technology_data_for_industrial_process_heat_0002.xlsx",
industrial heat pump medium temperature,VOM,2050,3.12,EUR/MWh_th,2015,"Danish Energy Agency,  technology_data_for_industrial_process_heat_0002.xlsx",
industrial heat pump medium temperature,efficiency,2050,2.85,per unit,2015,"Danish Energy Agency,  technology_data_for_industrial_process_heat_0002.xlsx",
industrial heat pump medium temperature,investment,2050,700,EUR/kW_th,2015,"Danish Energy Agency,  technology_data_for_industrial_process_heat_0002.xlsx",
industrial heat pump medium temperature,lifetime,2050,20,years,2015,"Danish Energy Agency,  technology_data_for_industrial_process_heat_0002.xlsx",
methanation,investment,2030,278,EUR/kW_CH4,2015,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methanation,lifetime,2030,30,years,2015,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methanation,FOM,2030,4,%/year,2015,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methanation,investment,2040,226,EUR/kW_CH4,2015,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methanation,lifetime,2040,30,years,2015,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methanation,FOM,2040,4,%/year,2015,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
H2 (g) pipeline,investment,2040,258.461538461538,EUR/MW/km,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Pessimistic (highest) value chosen for 48'' pipeline w/ 13GW_H2 LHV @ 100bar pressure. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
H2 (g) pipeline,lifetime,2040,30,years,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Pessimistic (lowest) value chosen for 48'' pipeline w/ 13GW_H2 LHV @ 100bar pressure. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
H2 (g) pipeline,FOM,2040,1.7,%/year,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Pessimistic (highest) value chosen for 48'' pipeline w/ 13GW_H2 LHV @ 100bar pressure. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
H2 (g) pipeline compressor,investment,2040,170,EUR/MW_H2/km,2020,"Calculated, based on numbers from Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf .","Calculated for 13 GW_H2 (LHV) pipeline. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
H2 (g) pipeline compressor,Power needed,2040,330,MW_el/1000km,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Pessimistic (highest) value chosen for 48'' pipeline w/ 13GW_H2 LHV @ 100bar pressure. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
H2 (g) pipeline compressor,lifetime,2040,15,years,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Pessimistic (lowest) value chosen for 48'' pipeline w/ 13GW_H2 LHV @ 100bar pressure. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
H2 (g) pipeline compressor,FOM,2040,1.7,%/year,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Pessimistic (highest) value chosen for 48'' pipeline w/ 13GW_H2 LHV @ 100bar pressure. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
methane (g) pipeline,investment,2040,87.2292755787901,EUR/MW/km,2020,Calculated based on numbers on Wikiepdia for the “Arab Gas Pipeline”.,"Estimation based on Arab Gas Pipeline: https://en.wikipedia.org/wiki/Arab_Gas_Pipeline: cost = 1.2e9 $-US (year = ?), capacity=10.3e9 m^3/a NG, l=1200km, NG-LHV=39MJ/m^3*90% (also Wikipedia estimate from here https://en.wikipedia.org/wiki/Heat_of_combustion)"
methane (g) pipeline,lifetime,2040,30,years,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Due to lack of numbers, use comparable H2 pipeline assumptions."
methane (g) pipeline,FOM,2040,1.7,%/year,2020,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Due to lack of numbers, use comparable H2 pipeline assumptions."
